xi                  |yi                  |U(xi)               |yi - U(xi)          
1.0                 |11.9075770642305    |12.0                |-0.0924229357694610 
1.1                 |14.4494483709994    |14.553632000000002  |-0.104183629000596  
1.2                 |18.1469728312384    |18.260288           |-0.113315168761588  
1.3                 |23.4476126341095    |23.566548           |-0.118935365890493  
1.4                 |30.9173331532558    |31.037311999999993  |-0.119978846744235  
1.5                 |41.2598090672337    |41.375              |-0.115190932766332  
1.6                 |55.3370693418119    |55.44019200000002   |-0.103122658188077  
1.7000000000000002  |74.1915814545237    |74.27370800000003   |-0.0821265454763278 
1.8                 |99.0697751691445    |99.12012800000001   |-0.0503528308555019 
1.9                 |131.447006096445    |131.45275199999998  |-0.00574590355537907
2.0                 |173.053959214359    |173.0               |0.0539592143587413  
