xi                  |yi                  |U(xi)               |yi - U(xi)          
1.0                 |11.9990785165231    |12.0                |-0.000921483476902907
1.01                |12.2131161716138    |12.214050351302     |-0.000934179688211856
1.02                |12.4354589625726    |12.436405641728001  |-0.000946679155353181
1.03                |12.6664196919274    |12.667378667358001  |-0.000958975430584985
1.04                |12.9063198774939    |12.907290939392002  |-0.000971061898150438
1.05                |13.1554899119767    |13.156472843750002  |-0.000982931773252815
1.06                |13.4142692240109    |13.415263802112001  |-0.000994578101053634
1.07                |13.6830064406423    |13.684012434398003  |-0.00100599375568677
1.08                |13.9620595512487    |13.963076722688001  |-0.00101717143928326
1.09                |14.2517960729009    |14.252824176582003  |-0.00102810368108486
1.1                 |14.5525932171635    |14.553632000000002  |-0.00103878283648307
1.11                |14.8648380583359    |14.865887259422003  |-0.00104920108614159
1.12                |15.1889277031329    |15.189987053568004  |-0.00105935043512417
1.13                |15.5252694618059    |15.526338684517995  |-0.00106922271204724
1.1400000000000001  |15.8742810207034    |15.875359830272004  |-0.00107880956860740
1.15                |16.2363906162727    |16.237478718749998  |-0.00108810247733970
1.16                |16.6120372104998    |16.613134303232     |-0.00109709273223757
1.17                |17.0016706677882    |17.002776439237998  |-0.00110577144980795
1.18                |17.4057519332851    |17.406866062847996  |-0.00111412956290380
1.19                |17.8247532126369    |17.825875370462     |-0.00112215782505132
1.2                 |18.2591581531925    |18.260288           |-0.00112984680752248
1.21                |18.7094620266430    |18.710599213541997  |-0.00113718689901887
1.22                |19.1761719131030    |19.177316081407998  |-0.00114416830498953
1.23                |19.6598068866310    |19.660957667677998  |-0.00115078104694888
1.24                |20.1608982021902    |20.162055217151998  |-0.00115701496183362
1.25                |20.6799894840487    |20.68115234375      |-0.00116285970134555
1.26                |21.2176369156207    |21.218805220352     |-0.00116830473133334
1.27                |21.7744094307468    |21.775582770078003  |-0.00117333933118857
1.28                |22.3508889064148    |22.352066859008     |-0.00117795259320630
1.29                |22.9476703569199    |22.948852490342002  |-0.00118213342205920
1.3                 |23.5653621294658    |23.566548           |-0.00118587053416164
1.31                |24.2045861012049    |24.205775253662004  |-0.00118915245714746
1.32                |24.8659778777187    |24.867169845248004  |-0.00119196752932638
1.33                |25.5501869929389    |25.551381296838006  |-0.00119430389911201
1.34                |26.2578771105075    |26.259073260032004  |-0.00119614952448899
1.35                |26.9897262265774    |26.990923718750004  |-0.00119749217256881
1.3599999999999999  |27.7464268740530    |27.74762519347199   |-0.00119831941897175
1.37                |28.5286863282700    |28.52988494691801   |-0.00119861864805415
1.38                |29.3372268141182    |29.338425191167993  |-0.00119837704982828
1.3900000000000001  |30.1727857145986    |30.173983296222012  |-0.00119758162337291
1.4                 |31.0361157808264    |31.037311999999993  |-0.00119621917362522
1.4100000000000001  |31.9279853434702    |31.929179619782012  |-0.00119427631183910
1.42                |32.8491785256332    |32.85037026508799   |-0.00119173945481066
1.43                |33.8004954571747    |33.801684051997995  |-0.00118859482329015
1.44                |34.7827524904641    |34.783937318911995  |-0.00118482844789725
1.45                |35.7967824175929    |35.79796284375      |-0.00118042615709157
1.46                |36.8434346890051    |36.844610062592     |-0.00117537358689646
1.47                |37.9235756335818    |37.924745289758     |-0.00116965617616671
1.48                |39.0380886801611    |39.039251939328     |-0.00116325916685867
1.49                |40.1878745804983    |40.189030748102     |-0.00115616760368198
1.5                 |41.3738516336664    |41.375              |-0.00114836633361648
1.51                |42.5969559118965    |42.598095751902     |-0.00113984000554979
1.52                |43.8581414878581    |43.859272060928     |-0.00113057306989361
1.53                |45.1583806633799    |45.159501213158     |-0.00112054977815035
1.54                |46.4986641996094    |46.499773953792     |-0.00110975418263592
1.55                |47.8800015486140    |47.88109971875001   |-0.00109817013596114
1.56                |49.3034210864213    |49.304506867712014  |-0.00108578129068349
1.57                |50.7699703474991    |50.77104291859801   |-0.00107257109895897
1.58                |52.2807162606758    |52.28177478348801   |-0.00105852281218688
1.5899999999999999  |53.8367453865013    |53.837789005981975  |-0.00104361948066156
1.6                 |55.4391641560457    |55.44019200000002   |-0.00102784395430433
1.6099999999999999  |57.0890991111445    |57.09011029002198   |-0.00101117887746938
1.62                |58.7876971460719    |58.78869075276802   |-0.000993606696106042
1.63                |60.5361257506659    |60.53710086031798   |-0.000975109652074480
