xi                  |yi                  |U(xi)               |yi - U(xi)          
1.0                 |11.9769462831771    |12.0                |-0.0230537168228651 
1.05                |13.1318819519586    |13.156472843750002  |-0.0245908917914157 
1.1                 |14.5276439371199    |14.553632000000002  |-0.0259880628801099 
1.15                |16.2102568550730    |16.237478718749998  |-0.0272218636769779 
1.2                 |18.2320218155217    |18.260288           |-0.0282661844783405 
1.25                |20.6520602349315    |20.68115234375      |-0.0290921088184604 
1.3                 |23.5368801429095    |23.566548           |-0.0296678570904945 
1.35                |26.9609649824234    |26.990923718750004  |-0.0299587363265701 
1.4                 |31.0073849047640    |31.037311999999993  |-0.0299270952360011 
1.45                |35.7684305600922    |35.79796284375      |-0.0295322836578151 
1.5                 |41.3462693843530    |41.375              |-0.0287306156469995 
1.55                |47.8536243832687    |47.88109971875001   |-0.0274753354813200 
1.6                 |55.4144754140436    |55.44019200000002   |-0.0257165859564097 
1.65                |64.1647829653496    |64.18818434374998   |-0.0234013784003793 
1.7000000000000002  |74.2532344360811    |74.27370800000003   |-0.0204735639188840 
1.75                |85.8420129133087    |85.85888671875      |-0.0168738054412501 
1.8                 |99.1075884497911    |99.12012800000001   |-0.0125395502088850 
1.85                |114.241531841353    |114.24893684375003  |-0.00740500239723474
1.9                 |131.451350904393    |131.45275199999998  |-0.00140109560680912
1.9500000000000002  |150.961349253718    |150.95580471875007  |0.00554453496778251 
2.0                 |173.013507580881    |173.0               |0.0135075808806562  
